gps_lat (deg),gps_lon (deg),gps_alt (m),gps_vN (m/s),gps_vE (m/s),gps_vD (m/s)
3.150811538914140542e+01,1.204019363466144767e+02,6.484553283163847937e+00,1.059904792662950818e-01,4.844236632086593164e-02,-2.424707125280585115e-02
3.150818895560249189e+01,1.204020400637351997e+02,-2.041335850120548301e+00,7.009726453014837599e-02,-1.165000978852186037e-01,2.738870031965381577e-02
3.150821115626183300e+01,1.204019659309399088e+02,1.153425596011612431e+00,-1.985109687623248451e-02,5.172072372556828918e-02,3.092964949877501438e-02
3.150814722547005076e+01,1.204020249907959936e+02,-2.030560295716010710e+00,2.555417890511524001e-02,3.383162933385874815e-02,-4.440597201074480971e-02
3.150818248326162418e+01,1.204020753429343102e+02,-5.823194279885004931e+00,-3.435986723544466603e-02,1.276494473112702900e-02,-1.094379014661665678e-01
3.150821683409836638e+01,1.204020456029182924e+02,1.634645336813655092e+00,-3.370949238225220274e-02,-4.247575937624094300e-02,-6.953195215354943115e-02
3.150820054366335654e+01,1.204019092539357985e+02,1.347968878658578618e+01,-7.174660445134657671e-03,-8.267791852259573360e-02,-3.366359548287405773e-02
3.150817526944162239e+01,1.204018609572259919e+02,3.916982839948015549e-01,-1.508479239441077712e-03,4.520049915395732421e-02,-4.153203236951424210e-02
3.150818155989918523e+01,1.204020545408177298e+02,-1.180971519264420877e+01,-8.886959439267676231e-02,2.651427577706329600e-02,-6.222327655870110719e-02
3.150818079472866273e+01,1.204019822413913232e+02,-8.455662004738162096e+00,-1.778437884186749238e-02,-5.162301587743724218e-02,-1.417907957685265487e-02
3.150816456867111981e+01,1.204019396400702391e+02,1.290833818929513122e+01,-5.262767955491603165e-03,1.135342340755568502e-01,3.935865878280522812e-02
3.150821385308015721e+01,1.204020624283648431e+02,-1.393161812626535934e+01,1.000106584456407072e-01,-3.521327980319873679e-02,5.638986497413372989e-03
3.150823857679872120e+01,1.204019982049513402e+02,1.615778327137938231e+00,7.735622866161985522e-02,1.128912491045309663e-01,3.310031219468899388e-02
3.150818464493544369e+01,1.204019522411027623e+02,-5.529444098835038623e+00,-7.316649197105488944e-02,2.944439718599751316e-02,5.060905195324450281e-03
3.150809911994686630e+01,1.204020408564214364e+02,1.197968675685309137e+01,-3.474600041530735012e-02,-4.214905997195501214e-04,-1.224677238535838361e-02
3.150818022863808920e+01,1.204019799091953189e+02,3.116575963032366392e+00,2.136933107626950989e-02,-5.914178113704365164e-02,-3.801914024841962503e-02
3.150807838745519263e+01,1.204020061830889006e+02,1.333602522253120171e+01,4.369414048756441876e-02,-7.563927058828184835e-02,2.811033689502526883e-02
3.150816358388933125e+01,1.204020218483695999e+02,-3.679266616043373350e+00,-4.954432589651266289e-02,4.992612474404678480e-02,-3.557310636323495617e-02
3.150817048091667161e+01,1.204020397306798600e+02,-1.105135014442469554e+01,2.479878956617122959e-02,1.367494405449394372e-02,-5.941104774592094462e-02
3.150824992652906076e+01,1.204020363715448667e+02,-1.499414988353913403e+00,3.020707090401959002e-03,5.034229814043079954e-02,3.308878229741318150e-02
3.150820093677284106e+01,1.204019884645818337e+02,5.704530553302003426e+00,1.027464797602920324e-02,4.246096416415671981e-02,9.529523875713098724e-02
