ref_gps_lat (deg),ref_gps_lon (deg),ref_gps_alt (m),ref_gps_vN (m/s),ref_gps_vE (m/s),ref_gps_vD (m/s)
3.199679589913651157e+01,1.200038002862099802e+02,0.000000000000000000e+00,9.987631275635948214e+00,-4.972137386865589370e-01,0.000000000000000000e+00
3.199680491059449494e+01,1.200037998845998430e+02,0.000000000000000000e+00,9.997224302180004685e+00,-2.355976483360981977e-01,0.000000000000000000e+00
3.199681392792345846e+01,1.200037997599351485e+02,0.000000000000000000e+00,9.999965730559846833e+00,2.617990887416697665e-02,0.000000000000000000e+00
3.199682294494337853e+01,1.200037999123013748e+02,0.000000000000000000e+00,9.995853681937397539e+00,2.879395236826054472e-01,0.000000000000000000e+00
3.199683195547444114e+01,1.200038003415941716e+02,0.000000000000000000e+00,9.984890974505381323e+00,5.495017991244119937e-01,0.000000000000000000e+00
3.199684095334128031e+01,1.200038010475193744e+02,0.000000000000000000e+00,9.967085121555873783e+00,8.106874734813260819e-01,0.000000000000000000e+00
3.199684993237720221e+01,1.200038020295932455e+02,0.000000000000000000e+00,9.942448326331062347e+00,1.071317543138658790e+00,0.000000000000000000e+00
3.199685888642842002e+01,1.200038032871427589e+02,0.000000000000000000e+00,9.910997473659760360e+00,1.331213385265430205e+00,0.000000000000000000e+00
3.199686780935828523e+01,1.200038048193060689e+02,0.000000000000000000e+00,9.872754118385383748e+00,1.590196880233532450e+00,0.000000000000000000e+00
3.199687669505146204e+01,1.200038066250332207e+02,0.000000000000000000e+00,9.827744470593337667e+00,1.848090533692029691e+00,0.000000000000000000e+00
3.199688553741813735e+01,1.200038087030866905e+02,0.000000000000000000e+00,9.775999377647936583e+00,2.104717598212916485e+00,0.000000000000000000e+00
3.199689433039820585e+01,1.200038110520423231e+02,0.000000000000000000e+00,9.717554303051162634e+00,2.359902194424978283e+00,0.000000000000000000e+00
3.199690306796538763e+01,1.200038136702902989e+02,0.000000000000000000e+00,9.652449302137746656e+00,2.613469431552726263e+00,0.000000000000000000e+00
3.199691174413138839e+01,1.200038165560362842e+02,0.000000000000000000e+00,9.580728994623246564e+00,2.865245527277799020e+00,0.000000000000000000e+00
3.199692035295000991e+01,1.200038197073025685e+02,0.000000000000000000e+00,9.502442534023924026e+00,3.115057926840683500e+00,0.000000000000000000e+00
3.199692888852118955e+01,1.200038231219294858e+02,0.000000000000000000e+00,9.417643573969378679e+00,3.362735421301126681e+00,0.000000000000000000e+00
3.199693734499507869e+01,1.200038267975768349e+02,0.000000000000000000e+00,9.326390231431028965e+00,3.608108264876193072e+00,0.000000000000000000e+00
3.199694571657603248e+01,1.200038307317255999e+02,0.000000000000000000e+00,9.228745046891642545e+00,3.851008291275542561e+00,0.000000000000000000e+00
3.199695399752657465e+01,1.200038349216795126e+02,0.000000000000000000e+00,9.124774941483218882e+00,4.091269028954208409e+00,0.000000000000000000e+00
3.199696218217137655e+01,1.200038393645670851e+02,0.000000000000000000e+00,9.014551171122581863e+00,4.328725815203878113e+00,0.000000000000000000e+00
3.199697026490107632e+01,1.200038440573433718e+02,0.000000000000000000e+00,8.898149277676136393e+00,4.563215909004486370e+00,0.000000000000000000e+00
3.199697824017617975e+01,1.200038489967922146e+02,0.000000000000000000e+00,8.775649037187246648e+00,4.794578602558782876e+00,0.000000000000000000e+00
3.199698610253083331e+01,1.200038541795284317e+02,0.000000000000000000e+00,8.647134405201720497e+00,5.022655331433432124e+00,0.000000000000000000e+00
3.199699384657657220e+01,1.200038596020000767e+02,0.000000000000000000e+00,8.512693459228870552e+00,5.247289783231147808e+00,0.000000000000000000e+00
3.199700146700601522e+01,1.200038652604908407e+02,0.000000000000000000e+00,8.372418338377592306e+00,5.468328004719412938e+00,0.000000000000000000e+00
3.199700895859650629e+01,1.200038711511227660e+02,0.000000000000000000e+00,8.226405180208818280e+00,5.685618507342320882e+00,0.000000000000000000e+00
3.199701631621366715e+01,1.200038772698586911e+02,0.000000000000000000e+00,8.074754054847637974e+00,5.899012371043278691e+00,0.000000000000000000e+00
3.199702353481497497e+01,1.200038836125051631e+02,0.000000000000000000e+00,7.917568896400228873e+00,6.108363346327365662e+00,0.000000000000000000e+00
3.199703060945314093e+01,1.200038901747153233e+02,0.000000000000000000e+00,7.754957431722619532e+00,6.313527954493438621e+00,0.000000000000000000e+00
3.199703753527958128e+01,1.200038969519917487e+02,0.000000000000000000e+00,7.587031106590076845e+00,6.514365585967260230e+00,0.000000000000000000e+00
3.199704430754767159e+01,1.200039039396896641e+02,0.000000000000000000e+00,7.413905009317735662e+00,6.710738596668281986e+00,0.000000000000000000e+00
3.199705092161603659e+01,1.200039111330200683e+02,0.000000000000000000e+00,7.235697791884828867e+00,6.902512402344020082e+00,0.000000000000000000e+00
3.199705739549130001e+01,1.200039185001449624e+02,0.000000000000000000e+00,7.128921184347723816e+00,7.012737179401367094e+00,0.000000000000000000e+00
3.199706380635079483e+01,1.200039259429034644e+02,0.000000000000000000e+00,7.091294428847529474e+00,7.050783170924771248e+00,0.000000000000000000e+00
3.199707019507336625e+01,1.200039334118442156e+02,0.000000000000000000e+00,7.078126994278570727e+00,7.064001575089363882e+00,0.000000000000000000e+00
3.199707657605734212e+01,1.200039408898912825e+02,0.000000000000000000e+00,7.073529997966732985e+00,7.068604768118298409e+00,0.000000000000000000e+00
3.199708295434062322e+01,1.200039483711110222e+02,0.000000000000000000e+00,7.071926420476414066e+00,7.070209098984813423e+00,0.000000000000000000e+00
3.199708933168193425e+01,1.200039558534370201e+02,0.000000000000000000e+00,7.071367202017372122e+00,7.070768409036814361e+00,0.000000000000000000e+00
3.199709570869475783e+01,1.200039633361490132e+02,0.000000000000000000e+00,7.071172204196320088e+00,7.070963417993432643e+00,0.000000000000000000e+00
3.199710208559304547e+01,1.200039708189959526e+02,0.000000000000000000e+00,7.071104211395772055e+00,7.071031412147804396e+00,0.000000000000000000e+00
3.199710846245137574e+01,1.200039783018902853e+02,0.000000000000000000e+00,7.071080503618405899e+00,7.071055120089764223e+00,0.000000000000000000e+00
3.199711483929578293e+01,1.200039857848014577e+02,0.000000000000000000e+00,7.071072237208877453e+00,7.071063386519304217e+00,0.000000000000000000e+00
3.199712121613533000e+01,1.200039932677188403e+02,0.000000000000000000e+00,7.071069354887841385e+00,7.071066268842773006e+00,0.000000000000000000e+00
3.199712759297317177e+01,1.200040007506387525e+02,0.000000000000000000e+00,7.071068349884372495e+00,7.071067273846535883e+00,0.000000000000000000e+00
3.199713396981041313e+01,1.200040082335598441e+02,0.000000000000000000e+00,7.071067999461289055e+00,7.071067624269655738e+00,0.000000000000000000e+00
3.199714034664744844e+01,1.200040157164817032e+02,0.000000000000000000e+00,7.071067877276320246e+00,7.071067746454629876e+00,0.000000000000000000e+00
3.199714672348440558e+01,1.200040231994041875e+02,0.000000000000000000e+00,7.071067834673041119e+00,7.071067789057909003e+00,0.000000000000000000e+00
