ref_Yaw (deg),ref_Pitch (deg),ref_Roll (deg)
-4.498499999999997812e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.495649999999995572e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.491584999999992789e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.486426499999995343e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.480283849999997869e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.473255464999997599e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.465429918499998507e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.456886926650000902e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.447698233985001082e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.437928410586499695e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.427635569527847537e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.416872012575061035e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.405684811317554761e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.394116330185800479e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.382204697167220075e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.369984227450498793e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.357485804705451216e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.344737224234904005e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.331763501811413875e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.318587151630274690e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.305228436467246667e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.291705592820520110e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.278035033538470344e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.264231530184625285e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.250308377166165030e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.236277539449551455e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.222149785504598185e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.207934806954137485e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.193641326258723012e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.179277193632851350e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.164849474269565377e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.150364526842609081e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.135828074158346368e+01,0.000000000000000000e+00,0.000000000000000000e+00
