ref_vel_x (m/s),ref_vel_y (m/s),ref_vel_z (m/s)
8.620719116320350039e+00,-5.067859697891101689e+00,0.000000000000000000e+00
8.633957016302536758e+00,-5.045273653692156302e+00,0.000000000000000000e+00
8.647135758318786003e+00,-5.022653001871082878e+00,0.000000000000000000e+00
8.660255250156854601e+00,-4.999997900212621360e+00,0.000000000000000000e+00
8.673315400205732217e+00,-4.977308506467535310e+00,0.000000000000000000e+00
8.686316117436113871e+00,-4.954584978378065330e+00,0.000000000000000000e+00
8.699257311382956104e+00,-4.931827473700816533e+00,0.000000000000000000e+00
8.712138892129877021e+00,-4.909036150227251483e+00,0.000000000000000000e+00
8.724960770295254520e+00,-4.886211165802072820e+00,0.000000000000000000e+00
8.737722857019779354e+00,-4.863352678339719404e+00,0.000000000000000000e+00
8.750425063955386662e+00,-4.840460845839100301e+00,0.000000000000000000e+00
8.763067303255370533e+00,-4.817535826396794008e+00,0.000000000000000000e+00
8.775649487565587492e+00,-4.794577778218834574e+00,0.000000000000000000e+00
8.788171530016606781e+00,-4.771586859631244515e+00,0.000000000000000000e+00
8.800633344216770126e+00,-4.748563229089402427e+00,0.000000000000000000e+00
8.813034844245969168e+00,-4.725507045186413180e+00,0.000000000000000000e+00
8.825375944650184934e+00,-4.702418466660517105e+00,0.000000000000000000e+00
8.837656560436599307e+00,-4.679297652401685603e+00,0.000000000000000000e+00
8.849876607069305123e+00,-4.656144761457432502e+00,0.000000000000000000e+00
8.862036000465478125e+00,-4.632959953037996570e+00,0.000000000000000000e+00
8.874134656992044512e+00,-4.609743386520845476e+00,0.000000000000000000e+00
8.886172493462721533e+00,-4.586495221454669036e+00,0.000000000000000000e+00
8.898149427135425782e+00,-4.563215617562848436e+00,0.000000000000000000e+00
8.910065375710011892e+00,-4.539904734746491144e+00,0.000000000000000000e+00
8.921920257326283021e+00,-4.516562733087065240e+00,0.000000000000000000e+00
8.933713990562290874e+00,-4.493189772848636743e+00,0.000000000000000000e+00
8.945446494432843565e+00,-4.469786014479794289e+00,0.000000000000000000e+00
8.957117688388228416e+00,-4.446351618615279833e+00,0.000000000000000000e+00
