gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
-2.598046325189561079e-02,5.059863592771254165e-02,1.491165975414375389e+01
-4.612875579181908992e-02,-3.367378001188012226e-02,1.496072234962873182e+01
4.291270594742646431e-03,1.147473826308306744e-02,1.497251309598909685e+01
5.037540825521220900e-02,-6.684770621386339207e-02,1.498519937231694321e+01
3.510493303446975133e-02,-5.132837343597040913e-02,1.496080360324783243e+01
-1.510816735498450754e-02,-4.342564238008621985e-02,1.502355994062239652e+01
7.836859271610824296e-02,-6.137371712807548202e-04,1.500601085850747296e+01
2.978935710117245825e-02,-3.187344519504436979e-02,1.501801104492160199e+01
-2.674753266697925402e-02,-6.231683178111952284e-03,1.493914559902347428e+01
2.043739320621079745e-03,-5.753459422400874351e-02,1.501497998144624901e+01
4.022320944738953102e-02,4.208398241545350388e-02,1.501967544820750966e+01
1.165944490663805514e-03,-1.103549813029367638e-01,1.498259231716995465e+01
5.034297604399651932e-02,3.382859699697660094e-02,1.507112217497887130e+01
7.251726996571289906e-03,1.087976900638672750e-01,1.495201939013076320e+01
-1.175040309547830970e-03,-7.557311409011992220e-02,1.495429005960621538e+01
6.364108491978900939e-02,6.463240082622824512e-02,1.495905373524384885e+01
-2.644378016791161523e-02,-7.776588701667222492e-02,1.506037287146167181e+01
-4.687684900582213265e-02,5.781213154971726748e-02,1.507828067428343211e+01
-2.824174559358136327e-02,7.764361049434881368e-02,1.495859634167493546e+01
-3.666696135102443660e-02,2.799751085553812274e-02,1.500379782164547926e+01
1.931287861319645445e-03,-7.778509004918973679e-02,1.503462458298089111e+01
5.436452788846639350e-02,4.624358823906900284e-02,1.500671056652521962e+01
-8.205150094396746960e-03,-8.392219720051070919e-02,1.497816637734440448e+01
5.144906596081404160e-02,1.684702099263030465e-03,1.492782070575871245e+01
6.988533727767452797e-02,8.530319850537489146e-03,1.500660962382797337e+01
1.211035396942913150e-02,-9.563807797696614182e-03,1.496014549363967383e+01
8.189990172444433503e-02,-7.501932717592343924e-02,1.499661531766463085e+01
3.847197972258606380e-02,9.271225091440532529e-02,1.495688108999135757e+01
-3.514996261337454547e-02,3.331480696132776281e-02,1.501409448521680545e+01
-9.053569707229448815e-02,1.073806236539996163e-02,1.496446295131702087e+01
4.444602539397291691e-02,2.864714094322366733e-02,1.503809138119449074e+01
3.196836798199451102e-02,-3.007688950463308433e-02,1.496474454799630927e+01
1.848113237614614976e-02,2.007639423721519628e-02,1.500185953904023073e+01
-1.162926608411755242e-02,4.848715921490456826e-02,1.505590787375014727e+01
-1.296911854035606541e-02,2.813438235143002342e-02,1.499520803628082710e+01
2.424718013602801189e-02,-6.373022979255824061e-02,1.501537530122503661e+01
-3.076505766651144516e-02,1.176637383465695130e-02,1.500490671626079831e+01
7.810690567294052353e-03,-2.402891828599177521e-02,1.503098118772890501e+01
5.162425340914155586e-02,-1.242065232233035069e-02,1.499956729118148679e+01
-4.480024425999083737e-02,-3.094249601371345387e-02,1.502055226129941978e+01
-1.535178331196047040e-02,3.035609628147534732e-03,1.500030247103743797e+01
2.015867924118436294e-02,1.732829840409774724e-03,1.496055911016268780e+01
-4.386530018237118356e-02,7.811762912727157615e-02,1.496351731181325029e+01
-2.732649216152685523e-02,-6.507027234850922210e-04,1.501769566535002198e+01
-1.360476471194330822e-02,6.754627796017322397e-03,1.497981740571838216e+01
1.494923947318544701e-02,5.515826033408661316e-02,1.498744908137093468e+01
-1.074520409200220182e-03,6.740955293496413148e-02,1.498403738164249610e+01
6.121735205839493738e-02,-5.398800178204355565e-02,1.496699008851534352e+01
1.946007434825856169e-02,5.087464919291600184e-03,1.504247410948585717e+01
3.443395336774376925e-02,8.546233597331177878e-03,1.503387678268150474e+01
4.786015081105305519e-02,7.013860957344847380e-02,1.495119624726841856e+01
-5.501041019747859862e-02,9.401703818666250212e-03,1.497713809742184310e+01
8.511089267258682700e-02,-9.975720823356041753e-03,1.498627656775641270e+01
4.118321316656797099e-02,-5.829821478924757105e-02,1.507221885957445195e+01
-1.106307873859030009e-03,-3.218369542345889817e-02,1.495799666153934027e+01
2.546156351629411813e-02,3.759211013420872549e-02,1.502633166388790364e+01
4.018781234258484575e-02,3.016417762848423376e-02,1.502272099891835744e+01
2.207936922396507018e-02,4.192240278494963057e-02,1.494270424328729163e+01
-4.964126209560673630e-02,-3.154373795321638307e-02,1.504396533590751162e+01
-6.987475146783067581e-02,-8.990300527689075449e-02,1.503786379928465777e+01
4.359761838338072071e-02,-3.125823611954999665e-02,1.499373691229627070e+01
-1.013049178728481735e-02,-6.506788937567588305e-02,1.499405827342430442e+01
-2.614063911777687529e-02,4.056802613814881192e-02,1.500373109242770475e+01
1.635158450905708771e-01,-2.820855855273781548e-02,1.499164839001288563e+01
8.850123643801244624e-03,-7.782895328148677072e-02,1.501898950299385582e+01
6.820666130166216749e-03,4.828221564138533706e-02,1.495435941617364861e+01
7.792065368693151459e-03,4.640062126216969174e-02,1.495851589837709383e+01
-6.888543016516182962e-03,-2.124652827300715918e-02,1.494103891843454335e+01
2.356506928178491236e-02,-2.906876308671003332e-03,1.506815154859740957e+01
2.892032066829024195e-02,-2.220864889533230579e-02,1.497350787285205165e+01
2.982544031897603823e-02,4.130142934816217332e-02,1.499440961014359708e+01
2.348694462909320033e-02,7.487605273633192102e-03,1.493538576534625406e+01
-2.200604869908337133e-02,4.235335300804728685e-04,1.496787530241174657e+01
-1.399150496379875097e-02,-2.572310281502760906e-02,1.497798226094954543e+01
-6.005082059255843069e-02,3.158591187261963057e-02,1.496397756861444428e+01
-2.665764145440720559e-02,5.437080466874907175e-03,1.496149983733042710e+01
3.154453034706417025e-02,3.856033991201159375e-03,1.502729047938954388e+01
