gps_lat (deg),gps_lon (deg),gps_alt (m),gps_vN (m/s),gps_vE (m/s),gps_vD (m/s)
3.199699558520464748e+01,1.200037647037053148e+02,1.164401527946901282e+01,8.819794081272091191e+00,4.717373272347387569e+00,-2.673196905121562328e-02
3.199696751864826538e+01,1.200039276819375118e+02,5.748507956335310531e+00,8.627218593054422513e+00,4.981363333348650002e+00,3.920370461650841964e-02
3.199701946165068023e+01,1.200038237049344758e+02,1.551161602510455623e-02,8.489820265045597836e+00,5.162787037775926180e+00,2.101967472703212669e-03
3.199707401077600011e+01,1.200038640561000562e+02,-4.214967355744704491e+00,8.461022937090465490e+00,5.474801004779524582e+00,1.644179351400509859e-02
3.199699848046422801e+01,1.200038410973333640e+02,-1.467578014220998872e+00,8.259600088582768507e+00,5.644214376369175667e+00,-4.450364498654121870e-02
3.199703261329049653e+01,1.200038175892481291e+02,1.015984175031485748e+01,8.154099314356662020e+00,5.885587351170546988e+00,-1.200065737258966710e-02
3.199705743450062911e+01,1.200039037972878191e+02,9.606555855901364183e+00,7.927669824435555235e+00,6.117295854656832788e+00,2.559003311192808994e-02
3.199708765875289984e+01,1.200038829682752635e+02,-3.805164556476695825e+00,7.666494789566849377e+00,6.259086105949736911e+00,1.501480959846949320e-02
3.199703878448931960e+01,1.200039418899169874e+02,2.036164139815399121e+00,7.641535163501196770e+00,6.540330683396105904e+00,-2.966816549354309857e-02
3.199697864065556985e+01,1.200039586772597175e+02,2.744274679606470535e+00,7.400384234319021814e+00,6.741639084409431604e+00,-9.040755049201459892e-02
3.199703226494661124e+01,1.200038911681619140e+02,7.139706723858824766e+00,7.169359999167442155e+00,6.895305585550193683e+00,4.958109488509214458e-02
3.199703344902527036e+01,1.200040232428330569e+02,1.000107862501747036e+01,7.020830699841367206e+00,7.054257585894108118e+00,-6.481063786827424844e-02
3.199702288618016510e+01,1.200038871355884424e+02,-1.006602689339583107e-01,7.074638131550698539e+00,7.045751597337069683e+00,-3.621386709690917194e-02
3.199713203259508276e+01,1.200039326404243667e+02,-1.752734584646875038e-01,7.139619090831665460e+00,7.096223199273520521e+00,4.532154845128505416e-02
3.199702908519834210e+01,1.200040066725751586e+02,-2.870179979281120453e+00,7.114090034406003404e+00,7.071906183430688664e+00,-2.555103215729687821e-02
3.199703296718462653e+01,1.200039802551228831e+02,2.317512806852543239e+00,7.050692099903878685e+00,7.006417891726629321e+00,8.645695262659691682e-02
3.199714311313049464e+01,1.200039439270305763e+02,-9.422881982544428325e+00,7.008831010114305649e+00,7.026646245092839749e+00,9.540760055312608179e-02
3.199711221673747374e+01,1.200040044753298929e+02,3.693861915849077970e+00,7.038674859132034278e+00,7.094668748466985697e+00,1.589602372704497155e-02
