ref_pos_lat (deg),ref_pos_lon (deg),ref_pos_alt (m)
3.199658465704183996e+01,1.200039018146822798e+02,0.000000000000000000e+00
3.199658533242782354e+01,1.200039011134217333e+02,0.000000000000000000e+00
3.199658600932781738e+01,1.200039004141741401e+02,0.000000000000000000e+00
3.199658668774226200e+01,1.200038997169504427e+02,0.000000000000000000e+00
3.199658736767108991e+01,1.200038990217609864e+02,0.000000000000000000e+00
3.199658804911373267e+01,1.200038983286155627e+02,0.000000000000000000e+00
3.199658873206920617e+01,1.200038976375233943e+02,0.000000000000000000e+00
3.199658941653613908e+01,1.200038969484932920e+02,0.000000000000000000e+00
3.199659010251279767e+01,1.200038962615336828e+02,0.000000000000000000e+00
3.199659078999714623e+01,1.200038955766525532e+02,0.000000000000000000e+00
3.199659147898686484e+01,1.200038948938576340e+02,0.000000000000000000e+00
3.199659216947937068e+01,1.200038942131562720e+02,0.000000000000000000e+00
3.199659286147186421e+01,1.200038935345555586e+02,0.000000000000000000e+00
3.199659355496132562e+01,1.200038928580623718e+02,0.000000000000000000e+00
3.199659424994455037e+01,1.200038921836833055e+02,0.000000000000000000e+00
3.199659494641817048e+01,1.200038915114247828e+02,0.000000000000000000e+00
3.199659564437866521e+01,1.200038908412930283e+02,0.000000000000000000e+00
3.199659634382236462e+01,1.200038901732940531e+02,0.000000000000000000e+00
3.199659704474547794e+01,1.200038895074337830e+02,0.000000000000000000e+00
3.199659774714411853e+01,1.200038888437179736e+02,0.000000000000000000e+00
3.199659845101427180e+01,1.200038881821521954e+02,0.000000000000000000e+00
3.199659915635183793e+01,1.200038875227419908e+02,0.000000000000000000e+00
3.199659986315264604e+01,1.200038868654927313e+02,0.000000000000000000e+00
3.199660057141242930e+01,1.200038862104097035e+02,0.000000000000000000e+00
3.199660128112685697e+01,1.200038855574980943e+02,0.000000000000000000e+00
3.199660199229153790e+01,1.200038849067630480e+02,0.000000000000000000e+00
3.199660270490202763e+01,1.200038842582095668e+02,0.000000000000000000e+00
3.199660341895381066e+01,1.200038836118426246e+02,0.000000000000000000e+00
3.199660413444234663e+01,1.200038829676671241e+02,0.000000000000000000e+00
3.199660485136302057e+01,1.200038823256879112e+02,0.000000000000000000e+00
3.199660556971120684e+01,1.200038816859097466e+02,0.000000000000000000e+00
3.199660628948222652e+01,1.200038810483373766e+02,0.000000000000000000e+00
3.199660701067135804e+01,1.200038804129754766e+02,0.000000000000000000e+00
3.199660773327386210e+01,1.200038797798286652e+02,0.000000000000000000e+00
3.199660845728496739e+01,1.200038791489015466e+02,0.000000000000000000e+00
3.199660918269985999e+01,1.200038785201986826e+02,0.000000000000000000e+00
3.199660990951372597e+01,1.200038778937245496e+02,0.000000000000000000e+00
3.199661063772170166e+01,1.200038772694836950e+02,0.000000000000000000e+00
3.199661136731891276e+01,1.200038766474804817e+02,0.000000000000000000e+00
3.199661209830046360e+01,1.200038760277194001e+02,0.000000000000000000e+00
3.199661283066143369e+01,1.200038754102047562e+02,0.000000000000000000e+00
3.199661356439688831e+01,1.200038747949409839e+02,0.000000000000000000e+00
3.199661429950187497e+01,1.200038741819323462e+02,0.000000000000000000e+00
3.199661503597142342e+01,1.200038735711831777e+02,0.000000000000000000e+00
3.199661577380053856e+01,1.200038729626977556e+02,0.000000000000000000e+00
3.199661651298422527e+01,1.200038723564803149e+02,0.000000000000000000e+00
3.199661725351746000e+01,1.200038717525350904e+02,0.000000000000000000e+00
3.199661799539521212e+01,1.200038711508663027e+02,0.000000000000000000e+00
3.199661873861244032e+01,1.200038705514781014e+02,0.000000000000000000e+00
3.199661948316407489e+01,1.200038699543746930e+02,0.000000000000000000e+00
3.199662022904505676e+01,1.200038693595601700e+02,0.000000000000000000e+00
3.199662097625029489e+01,1.200038687670386963e+02,0.000000000000000000e+00
3.199662172477468403e+01,1.200038681768143363e+02,0.000000000000000000e+00
3.199662247461313314e+01,1.200038675888911683e+02,0.000000000000000000e+00
