accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
2.319444038710385416e-05,4.219408872187295489e-03,-9.795907187563640761e+00
-2.250789300025964144e-03,3.889261305644673827e-04,-9.799229578855657152e+00
-9.749359634671864519e-03,6.521680194736888259e-03,-9.783096188118584280e+00
-7.188133718161176557e-03,8.075792406553152294e-04,-9.791155651797321724e+00
-4.961671807119183084e-03,6.853770167932417452e-03,-9.792843082313764214e+00
-2.576850084203971374e-03,2.250387386648780661e-03,-9.799247401225901655e+00
5.379411411576358239e-04,9.222120222074452461e-04,-9.795617078922081333e+00
8.712873136477436225e-04,-1.069953466751582573e-02,-9.795406530288149227e+00
9.830094959717941994e-04,8.023248188669741474e-03,-9.793914438237930398e+00
-2.256902702204264654e-03,-4.182102719444431697e-04,-9.785984507846418268e+00
-5.311076108676489815e-05,7.168235039885442620e-04,-9.795858098197692598e+00
2.385597356772500583e-03,5.428784892672147006e-03,-9.804928182084074351e+00
8.281580521049698371e-03,3.656751869590576381e-03,-9.799275365714979813e+00
-2.003003379248457453e-03,-1.131275050222992160e-03,-9.796880847686153970e+00
-2.031193176828696365e-03,-3.168480460362349798e-03,-9.797814247508034313e+00
1.161874427104792051e-02,8.391964157835926207e-04,-9.792642075074383001e+00
-4.390897092944785057e-03,2.526661576411664851e-03,-9.790123500576429549e+00
8.856959538928510511e-03,1.120026655917424636e-03,-9.801098098245660140e+00
-1.884659711274902375e-04,-1.868492414267363712e-03,-9.788781780634597141e+00
5.966403499616037024e-04,-8.149015995521076503e-04,-9.802749800443395500e+00
-4.797990685943717866e-03,8.991857602231095523e-03,-9.796698654638893444e+00
1.058920492466087961e-03,1.589949959974632562e-03,-9.800800493766917754e+00
2.304252234408552154e-03,-1.548765420076644167e-03,-9.793881866425632410e+00
1.702767169039341765e-03,1.229524475253234621e-03,-9.801056948517990364e+00
6.424918831632821584e-03,1.068212659586796230e-03,-9.800630637569023307e+00
3.941751763660613327e-03,1.505040341604880908e-03,-9.801920046701820155e+00
6.049566668348290051e-03,2.395063033734656788e-03,-9.799557533923767494e+00
-1.025958853153756184e-03,-1.037643540671095987e-03,-9.784597386153951248e+00
4.079204998373915994e-03,1.538133318023789933e-03,-9.797383054974320160e+00
2.212658404663012893e-03,2.665328009884143211e-03,-9.802160530860888343e+00
-7.985796683977289603e-03,9.528602136042263124e-03,-9.791240624751511135e+00
-7.237810766573549983e-04,1.121375757794978436e-03,-9.797986003125181753e+00
3.923181997105046510e-03,9.635817202634684719e-03,-9.800474672782199193e+00
-2.004584905642117949e-03,1.162181219456662890e-03,-9.797021882359151945e+00
-5.954296052637971653e-03,1.607648965048852612e-03,-9.798348489256092364e+00
2.470560211460238759e-03,-9.408572613505519419e-03,-9.793898537117410541e+00
-1.022271616499088008e-02,3.608223047776827445e-03,-9.793924355501992807e+00
6.788314627461521263e-03,-7.166315963219168847e-03,-9.798300372121200752e+00
-8.950148321438365293e-03,-8.145100490608658469e-03,-9.796895648286945146e+00
-9.260621372664798239e-04,2.525975675811742427e-01,-9.799147081632636258e+00
8.788220985885853223e-03,5.079733916219466572e-01,-9.799696205751143196e+00
-3.188493351427954155e-03,7.009908514862006612e-01,-9.800731848075651342e+00
-3.939604280015523985e-03,8.871335429591936661e-01,-9.786367339324359094e+00
-4.326624214491497748e-03,1.086429469691454264e+00,-9.801148486971239748e+00
