ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
0.000000000000000000e+00,2.617224216165603412e+00,-9.795218070662564003e+00
0.000000000000000000e+00,2.617224192660974058e+00,-9.795215000930092231e+00
0.000000000000000000e+00,2.617224169054360949e+00,-9.795211928516247113e+00
0.000000000000000000e+00,2.617224145354005493e+00,-9.795208853442096242e+00
0.000000000000000000e+00,2.617224121567339523e+00,-9.795205775728714315e+00
0.000000000000000000e+00,2.617224097701071894e+00,-9.795202695397197346e+00
0.000000000000000000e+00,2.617224073761254211e+00,-9.795199612468662664e+00
0.000000000000000000e+00,2.617224049753350990e+00,-9.795196526964243589e+00
0.000000000000000000e+00,2.617224025682298283e+00,-9.795193438905087646e+00
0.000000000000000000e+00,2.617224001552553858e+00,-9.795190348312363682e+00
0.000000000000000000e+00,2.617223977368145604e+00,-9.795187255207256527e+00
0.000000000000000000e+00,2.617223953132720382e+00,-9.795184159610968777e+00
0.000000000000000000e+00,2.617223928849569781e+00,-9.795181061544719014e+00
0.000000000000000000e+00,2.617223904521681188e+00,-9.795177961029747138e+00
0.000000000000000000e+00,2.617223880151753779e+00,-9.795174858087301928e+00
0.000000000000000000e+00,2.617223855742237149e+00,-9.795171752738655258e+00
0.000000000000000000e+00,2.617223831295352632e+00,-9.795168645005093211e+00
0.000000000000000000e+00,2.617223806813115061e+00,-9.795165534907914306e+00
0.000000000000000000e+00,2.617223782297355861e+00,-9.795162422468438379e+00
0.000000000000000000e+00,2.617223757749739477e+00,-9.795159307708010132e+00
0.000000000000000000e+00,2.617223733171783362e+00,-9.795156190647963612e+00
0.000000000000000000e+00,2.617223708564867302e+00,-9.795153071309677273e+00
0.000000000000000000e+00,2.617223683930250289e+00,-9.795149949714529569e+00
0.000000000000000000e+00,2.617223659269085623e+00,-9.795146825883914943e+00
0.000000000000000000e+00,2.617223634582424019e+00,-9.795143699839247375e+00
0.000000000000000000e+00,2.617223609871230927e+00,-9.795140571601960389e+00
0.000000000000000000e+00,2.617223585136392749e+00,-9.795137441193485728e+00
0.000000000000000000e+00,2.617223560378722613e+00,-9.795134308635290665e+00
0.000000000000000000e+00,2.617223535598969697e+00,-9.795131173948840697e+00
0.000000000000000000e+00,2.617223510797827668e+00,-9.795128037155629741e+00
0.000000000000000000e+00,2.617223485975934683e+00,-9.795124898277155268e+00
0.000000000000000000e+00,2.617223461133883156e+00,-9.795121757334930734e+00
0.000000000000000000e+00,2.617223436272224646e+00,-9.795118614350489139e+00
0.000000000000000000e+00,2.617223411391472077e+00,-9.795115469345374137e+00
0.000000000000000000e+00,2.617223386492104620e+00,-9.795112322341140043e+00
0.000000000000000000e+00,2.617223361574570362e+00,-9.795109173359364263e+00
0.000000000000000000e+00,2.617223336639288966e+00,-9.795106022421624203e+00
0.000000000000000000e+00,2.617223311686655673e+00,-9.795102869549520364e+00
0.000000000000000000e+00,2.617223286717044850e+00,-9.795099714764667453e+00
0.000000000000000000e+00,2.617223261730808215e+00,-9.795096558088683736e+00
0.000000000000000000e+00,2.617223236728281499e+00,-9.795093399543214119e+00
0.000000000000000000e+00,2.617223211709785780e+00,-9.795090239149903510e+00
0.000000000000000000e+00,2.617223186675621704e+00,-9.795087076930414582e+00
0.000000000000000000e+00,2.617223161626081485e+00,-9.795083912906425994e+00
0.000000000000000000e+00,2.617223136561445784e+00,-9.795080747099625285e+00
0.000000000000000000e+00,2.617223111481981057e+00,-9.795077579531708878e+00
0.000000000000000000e+00,2.617223086387947539e+00,-9.795074410224390959e+00
0.000000000000000000e+00,2.617223061279594365e+00,-9.795071239199394597e+00
0.000000000000000000e+00,2.617223036157164451e+00,-9.795068066478457069e+00
0.000000000000000000e+00,2.617223011020894941e+00,-9.795064892083320984e+00
0.000000000000000000e+00,2.617222985871014096e+00,-9.795061716035748489e+00
0.000000000000000000e+00,2.617222960707745294e+00,-9.795058538357512390e+00
0.000000000000000000e+00,2.617222935531307026e+00,-9.795055359070385492e+00
0.000000000000000000e+00,2.617222910341915565e+00,-9.795052178196169024e+00
0.000000000000000000e+00,2.617222885139778299e+00,-9.795048995756662435e+00
0.000000000000000000e+00,2.617222859925102618e+00,-9.795045811773677613e+00
0.000000000000000000e+00,2.617222834698092804e+00,-9.795042626269037100e+00
0.000000000000000000e+00,2.617222809458948696e+00,-9.795039439264581205e+00
0.000000000000000000e+00,2.617222784207867026e+00,-9.795036250782150233e+00
0.000000000000000000e+00,2.617222758945043637e+00,-9.795033060843604034e+00
0.000000000000000000e+00,2.617222733670670376e+00,-9.795029869470800676e+00
0.000000000000000000e+00,2.617222708384940866e+00,-9.795026676685619549e+00
0.000000000000000000e+00,2.617222683088042512e+00,-9.795023482509945367e+00
0.000000000000000000e+00,2.617222657780163164e+00,-9.795020286965669953e+00
0.000000000000000000e+00,2.617222632461490228e+00,-9.795017090074697563e+00
0.000000000000000000e+00,2.617222607132209333e+00,-9.795013891858941335e+00
0.000000000000000000e+00,2.617222581792503000e+00,-9.795010692340319736e+00
0.000000000000000000e+00,2.617222556442555526e+00,-9.795007491540765443e+00
0.000000000000000000e+00,2.617222531082549875e+00,-9.795004289482221793e+00
0.000000000000000000e+00,2.617222505712666791e+00,-9.795001086186628569e+00
0.000000000000000000e+00,2.617222480333087908e+00,-9.794997881675946871e+00
0.000000000000000000e+00,2.617222454943992194e+00,-9.794994675972137799e+00
0.000000000000000000e+00,2.617222429545558615e+00,-9.794991469097181991e+00
0.000000000000000000e+00,2.617222404137967473e+00,-9.794988261073051206e+00
0.000000000000000000e+00,2.617222378721398179e+00,-9.794985051921736741e+00
0.000000000000000000e+00,2.617222353296028814e+00,-9.794981841665240552e+00
0.000000000000000000e+00,2.617222327862036568e+00,-9.794978630325559266e+00
0.000000000000000000e+00,2.617222302419599966e+00,-9.794975417924705496e+00
0.000000000000000000e+00,2.617222276968894867e+00,-9.794972204484700740e+00
