mag_x (uT),mag_y (uT),mag_z (uT)
2.925336230027455997e+01,1.479582265411353070e+01,3.754646772737030602e+01
2.927683750336098356e+01,1.471457863146556200e+01,3.753172799053311337e+01
2.933243344425784471e+01,1.463989521405360428e+01,3.753205650949936967e+01
2.935990262810774709e+01,1.454927073810444504e+01,3.753620259573310847e+01
2.941562823857709219e+01,1.448397126454016437e+01,3.752264209346223112e+01
2.943636833682661447e+01,1.438591227211020573e+01,3.752843271057894725e+01
2.947620863752936060e+01,1.434733500524014538e+01,3.753817622723700964e+01
2.951068397744488436e+01,1.423882997194773736e+01,3.752881097206302030e+01
2.954937946141348348e+01,1.416281392729353961e+01,3.752814003186853142e+01
2.959267554854567095e+01,1.409167457817309810e+01,3.753605185038587422e+01
2.962630380511705042e+01,1.402191970453468706e+01,3.754779061636346427e+01
2.968338376992664251e+01,1.395451108764609316e+01,3.753662360417883548e+01
2.968780280297878349e+01,1.385094003630228343e+01,3.752913434471577858e+01
2.973598839857410780e+01,1.375010750129631987e+01,3.753420603999418148e+01
2.977655419569909867e+01,1.369577286852576314e+01,3.754379330009439997e+01
2.979651933260810281e+01,1.361731740533968527e+01,3.753522608833693397e+01
2.982375709762149896e+01,1.354338692732760130e+01,3.753001061356946622e+01
2.987898042036240653e+01,1.348028685829926054e+01,3.754360491228528218e+01
2.990861667000225310e+01,1.340175495400731620e+01,3.753393289986938441e+01
2.994688401285302248e+01,1.331270769132435738e+01,3.753795346951983447e+01
2.998269215052015113e+01,1.322485860828940751e+01,3.753006248253595345e+01
3.001930921754803094e+01,1.312597630100588653e+01,3.752896534112277749e+01
3.004566943735452611e+01,1.306149188338508793e+01,3.753447577177986005e+01
3.008978413734812563e+01,1.300365817140976610e+01,3.755090305580065291e+01
3.011508677564460967e+01,1.292020538972327515e+01,3.754075697401501799e+01
3.014182402103921277e+01,1.283995657065877971e+01,3.752645653688605876e+01
3.019340799779490681e+01,1.275820934849078014e+01,3.754820716997226526e+01
3.021926897983059135e+01,1.267054487096931581e+01,3.753502555246873840e+01
3.024652182341359818e+01,1.258193970642722448e+01,3.751166364266597242e+01
3.030674477675743717e+01,1.251538522320985791e+01,3.753465199122519635e+01
3.031774223521562206e+01,1.241646966004952901e+01,3.751655299542808564e+01
3.035914024201600725e+01,1.235059887055945893e+01,3.752481425795261316e+01
3.039311656189062560e+01,1.228374884446844106e+01,3.753450397728035171e+01
3.041954567721459313e+01,1.220254790127625455e+01,3.752705764594048787e+01
3.045355152666075327e+01,1.212357596001552729e+01,3.751617387154379912e+01
3.050167774932752351e+01,1.205087881625169288e+01,3.753748489605811045e+01
3.049916899091821421e+01,1.197156747607106730e+01,3.751477288581845926e+01
3.054590027055157364e+01,1.188647056418559877e+01,3.753879121777531935e+01
3.055905987669284229e+01,1.181580927942350812e+01,3.753758656747368860e+01
3.060351754881333619e+01,1.171853444794226462e+01,3.753897113069991320e+01
3.063576813128211285e+01,1.164967531672673218e+01,3.753203205066431281e+01
3.066327217416739970e+01,1.156768827026818691e+01,3.752719380093306256e+01
3.068104859395480233e+01,1.148490631436885856e+01,3.753157837149824161e+01
3.072550310094419501e+01,1.140738266057688755e+01,3.753353006853925677e+01
3.075236965860202787e+01,1.131866859536329351e+01,3.753761842589963038e+01
3.078852908655073861e+01,1.124188288740124442e+01,3.753873106014027172e+01
3.080239923676840519e+01,1.115456075123655921e+01,3.751921698728958887e+01
3.083971014815197265e+01,1.108272826802644673e+01,3.751188639820644255e+01
3.087250608508889371e+01,1.100648976964518155e+01,3.754432421916843055e+01
3.091504687300166054e+01,1.091111679389791611e+01,3.753584209334271549e+01
3.092610857950096559e+01,1.083036019087388269e+01,3.752537361569970642e+01
3.095157257863988676e+01,1.075240388812219727e+01,3.753618103146584417e+01
3.097656050370048675e+01,1.066700999776725745e+01,3.752298604181655151e+01
3.100080308488743697e+01,1.061812905612077529e+01,3.751137747813354650e+01
3.105955203877114101e+01,1.052124189960386857e+01,3.753108435261773934e+01
3.107649549605254435e+01,1.042511402724746539e+01,3.751052674159056721e+01
3.109576888792240723e+01,1.036050612013043803e+01,3.752903110443065060e+01
3.112641084582961071e+01,1.026039134186642521e+01,3.753457919738245607e+01
3.116283229198664984e+01,1.018656638142944537e+01,3.753169197304948312e+01
3.118635718670324763e+01,1.010286090025619110e+01,3.753643539148400521e+01
3.119546232652453455e+01,1.001641551066852642e+01,3.754099185488352219e+01
3.121114923707408551e+01,9.946432605507359526e+00,3.752598655178201881e+01
3.124960045451358681e+01,9.877180200731379145e+00,3.752796146055120374e+01
3.128893111758272738e+01,9.773849875038676416e+00,3.754082212992446443e+01
3.131960742085302840e+01,9.697346028763307757e+00,3.753052096002949867e+01
3.131554084828978901e+01,9.606583148502945591e+00,3.753531561014008844e+01
3.137046541247330822e+01,9.539144540677769513e+00,3.751886786346141633e+01
3.137851154472649284e+01,9.448634602294356810e+00,3.753322931902338411e+01
3.139842992561227319e+01,9.366310017573521662e+00,3.751478570585771877e+01
3.143176649828330227e+01,9.305271847360796045e+00,3.754377732270670975e+01
3.145379516099639616e+01,9.207848596708450017e+00,3.753819752557493672e+01
3.147379852545432044e+01,9.123315897661141705e+00,3.754433920325516283e+01
3.149689456413016941e+01,9.037667138191734395e+00,3.751329548076110143e+01
3.154076239880394184e+01,8.956302822654997442e+00,3.753617646306219768e+01
