gps_lat (deg),gps_lon (deg),gps_alt (m),gps_vN (m/s),gps_vE (m/s),gps_vD (m/s)
3.200002035249607957e+01,1.199999426907625946e+02,1.101156093097679367e+01,5.201538447200890897e-02,2.874827230370116476e-04,1.191541367233639112e-02
3.199994139456157072e+01,1.200000489673946333e+02,-2.732941545777011871e+00,-7.774563647257670684e-02,-8.381483247471308018e-02,-3.640976527468638146e-02
3.200007816126603188e+01,1.200000315795620907e+02,-1.393134833491864732e+01,3.058823747555805203e-02,-2.308128203105617310e-02,-5.032877120842490365e-03
3.200000287816570932e+01,1.199999565139210915e+02,3.861100909276182769e+00,-3.760577914666379806e-02,-8.398791302137592618e-02,-1.755696143144491739e-01
3.200007561573155357e+01,1.199999642478877746e+02,-1.056495911197478854e+01,-2.189721905300483912e-02,-9.840761043137134442e-03,-4.104437823433571692e-02
3.199995816397418835e+01,1.199999461050187364e+02,-7.573503173608855832e+00,5.415595056850130984e-02,1.664294019123510257e-02,-7.571660098238713887e-02
3.200003937793007935e+01,1.200000659757173480e+02,-1.656566888744340815e+01,1.371606409453893574e-02,-4.785269893229677357e-02,-3.012631075275270034e-02
3.199999713381514255e+01,1.200001032330649764e+02,-2.416643015564582164e+00,-2.268033364887001718e-03,3.246090143579499938e-03,7.572435395937988922e-02
3.199995687153398904e+01,1.200000465537112007e+02,-1.402621463434517679e+01,-5.106457093598837371e-02,-1.515890407828452552e-02,6.605227353114198618e-02
3.200000859086759419e+01,1.199999924171175678e+02,-2.362025290223879193e+00,7.593155049972991066e-02,-4.284084007593795540e-02,-2.022683585872132525e-02
3.199995286638960934e+01,1.200000020888995067e+02,-1.375310934944741437e+00,-1.161477934535714782e-02,1.814728656125918702e-02,5.423173600752927842e-02
3.200000998262192553e+01,1.200000238468055329e+02,8.430048331884654189e+00,3.423179724690397080e-02,-6.449663695164398192e-02,-2.088756041893219395e-02
3.200003925919697423e+01,1.199999778677770763e+02,-7.859369955926329254e+00,2.033013893111026288e-02,2.169050475564320013e-02,-4.955735200633346743e-02
3.199996279455368153e+01,1.200000366234840357e+02,4.953676603689644686e+00,4.298410273201727638e-02,-6.125424060082444028e-02,-2.950891096369267011e-02
3.199995070455540969e+01,1.199999870135591777e+02,1.257309459762294412e-01,-7.466551641600374656e-02,1.910136111204173773e-02,-5.046457661812275147e-02
3.199998686025782035e+01,1.200000246702128806e+02,3.289940568467604631e+00,-2.736774026418412574e-03,-1.908031873253020899e-02,-7.287237883240969827e-02
3.199995372054501175e+01,1.200000124015710696e+02,2.005112839815199333e-01,5.326040662476225554e-03,-3.252871108094193553e-02,-2.697602611602996012e-03
3.200004826182900075e+01,1.200000010675915121e+02,-4.546152192666652603e+00,6.533113005111082505e-02,7.267438740131010495e-03,-4.065863356331972378e-02
3.200000073735291295e+01,1.200000078453465164e+02,5.586528206145993991e+00,7.245727422193568718e-03,-5.147903993551560670e-02,-2.136895146246316560e-02
3.200001162593218140e+01,1.200000510004204131e+02,-1.968382475331411996e+01,4.192515634576922390e-02,4.022104959231959098e-02,4.629193678741561763e-02
3.200001628125431807e+01,1.200000345557118067e+02,5.452453937707402609e+00,-7.126409309220134436e-02,3.797575324592854934e-02,-3.877559498123983595e-02
3.199994018115519978e+01,1.199999917145418920e+02,1.148293814892632625e+01,-6.087037067581541061e-02,9.313563062276020155e-02,4.431570762667583208e-02
3.200008438158258173e+01,1.200000038621452205e+02,2.031642037366030440e+00,2.612492853141576074e-02,8.888585270318513643e-02,2.185624004560976497e-02
3.200000772869449861e+01,1.200000120024797496e+02,1.402760996755242129e+00,-1.542504050486720284e-02,-6.370005434895441299e-02,-1.726448393814309507e-02
3.200001868721887632e+01,1.199999557389600398e+02,7.419465730299895867e+00,8.213579864814135600e-02,3.925060998986487464e-04,2.950991125108567981e-02
3.199998575210101137e+01,1.200000056118669249e+02,-1.071405185810256278e+01,-6.112449373978423584e-02,1.426363672021800644e-02,-1.302427175232898360e-01
