time (sec),ref_vel_x (m/s),ref_vel_y (m/s),ref_vel_z (m/s)
2.00900E+02,8.8422119526779000E-01,0.0000000000000000E+00,-1.6778819338440100E-01
2.00910E+02,8.9351413366460600E-01,0.0000000000000000E+00,-1.7243112521116500E-01
2.00920E+02,9.0278904665119700E-01,0.0000000000000000E+00,-1.7712125012720100E-01
2.00930E+02,9.1204588315046500E-01,0.0000000000000000E+00,-1.8185793089191600E-01
2.00940E+02,9.2128459548840000E-01,0.0000000000000000E+00,-1.8664054788757800E-01
2.00950E+02,9.3050513930288700E-01,0.0000000000000000E+00,-1.9146849801185100E-01
2.00960E+02,9.3970747345948900E-01,0.0000000000000000E+00,-1.9634119365121400E-01
2.00970E+02,9.4889155997341100E-01,0.0000000000000000E+00,-2.0125806172977500E-01
2.00980E+02,9.5805736393692200E-01,0.0000000000000000E+00,-2.0621854282832300E-01
2.00990E+02,9.6720485345157000E-01,0.0000000000000000E+00,-2.1122209036871000E-01
2.01000E+02,9.7633399956461500E-01,0.0000000000000000E+00,-2.1626816985900100E-01
2.01010E+02,9.8544477620914100E-01,0.0000000000000000E+00,-2.2135625819505700E-01
2.01020E+02,9.9453716014737100E-01,0.0000000000000000E+00,-2.2648584301452900E-01
2.01030E+02,1.0036111309167900E+00,0.0000000000000000E+00,-2.3165642209945600E-01
2.01040E+02,1.0126666707786700E+00,0.0000000000000000E+00,-2.3686750282393000E-01
2.01050E+02,1.0217037646686900E+00,0.0000000000000000E+00,-2.4211860164351700E-01
2.01060E+02,1.0307224001493900E+00,0.0000000000000000E+00,-2.4740924362333700E-01
2.01070E+02,1.0397225673640900E+00,0.0000000000000000E+00,-2.5273896200192000E-01
2.01080E+02,1.0487042589922500E+00,0.0000000000000000E+00,-2.5810729778814200E-01
2.01090E+02,1.0576674702058700E+00,0.0000000000000000E+00,-2.6351379938875800E-01
2.01100E+02,1.0666121986269100E+00,0.0000000000000000E+00,-2.6895802226417700E-01
2.01110E+02,1.0755384442855200E+00,0.0000000000000000E+00,-2.7443952861034200E-01
2.01120E+02,1.0844462095790000E+00,0.0000000000000000E+00,-2.7995788706468300E-01
2.01130E+02,1.0933354992313300E+00,0.0000000000000000E+00,-2.8551267243430100E-01
2.01140E+02,1.1022063202532100E+00,0.0000000000000000E+00,-2.9110346544462500E-01
2.01150E+02,1.1110586819026200E+00,0.0000000000000000E+00,-2.9672985250697300E-01
2.01160E+02,1.1198925956456500E+00,0.0000000000000000E+00,-3.0239142550350100E-01
2.01170E+02,1.1287080751177700E+00,0.0000000000000000E+00,-3.0808778158818800E-01
2.01180E+02,1.1375051360853100E+00,0.0000000000000000E+00,-3.1381852300257900E-01
2.01190E+02,1.1462837964072900E+00,0.0000000000000000E+00,-3.1958325690510000E-01
2.01200E+02,1.1550440759974100E+00,0.0000000000000000E+00,-3.2538159521288400E-01
2.01210E+02,1.1637859967863100E+00,0.0000000000000000E+00,-3.3121315445507200E-01
2.01220E+02,1.1725095826840700E+00,0.0000000000000000E+00,-3.3707755563669800E-01
2.01230E+02,1.1812148595428500E+00,0.0000000000000000E+00,-3.4297442411227000E-01
2.01240E+02,1.1899018551197900E+00,0.0000000000000000E+00,-3.4890338946829000E-01
2.01250E+02,1.1985705990400800E+00,0.0000000000000000E+00,-3.5486408541395900E-01
2.01260E+02,1.2072211227602600E+00,0.0000000000000000E+00,-3.6085614967942300E-01
2.01270E+02,1.2158534595316900E+00,0.0000000000000000E+00,-3.6687922392091400E-01
2.01280E+02,1.2244676443643200E+00,0.0000000000000000E+00,-3.7293295363225600E-01
2.01290E+02,1.2330637139905900E+00,0.0000000000000000E+00,-3.7901698806217400E-01
2.01300E+02,1.2416417068296100E+00,0.0000000000000000E+00,-3.8513098013695500E-01
2.01310E+02,1.2502016629515700E+00,0.0000000000000000E+00,-3.9127458638800900E-01
2.01320E+02,1.2587436240424600E+00,0.0000000000000000E+00,-3.9744746688391200E-01
2.01330E+02,1.2672676333689300E+00,0.0000000000000000E+00,-4.0364928516658600E-01
2.01340E+02,1.2757737357435500E+00,0.0000000000000000E+00,-4.0987970819123800E-01
2.01350E+02,1.2842619774902800E+00,0.0000000000000000E+00,-4.1613840626977500E-01
2.01360E+02,1.2927324064102500E+00,0.0000000000000000E+00,-4.2242505301738600E-01
2.01370E+02,1.3011850717478900E+00,0.0000000000000000E+00,-4.2873932530203000E-01
2.01380E+02,1.3096200241572500E+00,0.0000000000000000E+00,-4.3508090319659300E-01
2.01390E+02,1.3180373156688100E+00,0.0000000000000000E+00,-4.4144946993348800E-01
2.01400E+02,1.3264369996564800E+00,0.0000000000000000E+00,-4.4784471186148400E-01
2.01410E+02,1.3348191308050400E+00,0.0000000000000000E+00,-4.5426631840459300E-01
2.01420E+02,1.3431837650778300E+00,0.0000000000000000E+00,-4.6071398202283400E-01
2.01430E+02,1.3515309596848800E+00,0.0000000000000000E+00,-4.6718739817471400E-01
2.01440E+02,1.3598607730513600E+00,0.0000000000000000E+00,-4.7368626528128900E-01
2.01450E+02,1.3681732647864200E+00,0.0000000000000000E+00,-4.8021028469167500E-01
2.01460E+02,1.3764684956523400E+00,0.0000000000000000E+00,-4.8675916064987700E-01
2.01470E+02,1.3847465275341500E+00,0.0000000000000000E+00,-4.9333260026283400E-01
2.01480E+02,1.3930074234095800E+00,0.0000000000000000E+00,-4.9993031346958900E-01
2.01490E+02,1.4012512473193400E+00,0.0000000000000000E+00,-5.0655201301146900E-01
2.01500E+02,1.4094780643379500E+00,0.0000000000000000E+00,-5.1319741440320700E-01
2.01510E+02,1.4176879405447500E+00,0.0000000000000000E+00,-5.1986623590493300E-01
2.01520E+02,1.4258809429955000E+00,0.0000000000000000E+00,-5.2655819849495100E-01
2.01530E+02,1.4340571396942200E+00,0.0000000000000000E+00,-5.3327302584324300E-01
2.01540E+02,1.4422165995655500E+00,0.0000000000000000E+00,-5.4001044428564800E-01
2.01550E+02,1.4503593924273800E+00,0.0000000000000000E+00,-5.4677018279865300E-01
2.01560E+02,1.4584855889640300E+00,0.0000000000000000E+00,-5.5355197297475800E-01
2.01570E+02,1.4665952606996700E+00,0.0000000000000000E+00,-5.6035554899836100E-01
2.01580E+02,1.4746884799722700E+00,0.0000000000000000E+00,-5.6718064762212700E-01
2.01590E+02,1.4827653199078600E+00,0.0000000000000000E+00,-5.7402700814380900E-01
2.01600E+02,1.4908258543952000E+00,0.0000000000000000E+00,-5.8089437238348100E-01
2.01610E+02,1.4988701580609100E+00,0.0000000000000000E+00,-5.8778248466115600E-01
2.01620E+02,1.5068983062449000E+00,0.0000000000000000E+00,-5.9469109177475800E-01
2.01630E+02,1.5149103749762300E+00,0.0000000000000000E+00,-6.0161994297843200E-01
2.01640E+02,1.5229064409494100E+00,0.0000000000000000E+00,-6.0856878996115900E-01
2.01650E+02,1.5308865815010000E+00,0.0000000000000000E+00,-6.1553738682566000E-01
2.01660E+02,1.5388508745866600E+00,0.0000000000000000E+00,-6.2252549006757200E-01
2.01670E+02,1.5467993987585200E+00,0.0000000000000000E+00,-6.2953285855487900E-01
2.01680E+02,1.5547322331430200E+00,0.0000000000000000E+00,-6.3655925350757500E-01
2.01690E+02,1.5626494574190300E+00,0.0000000000000000E+00,-6.4360443847755900E-01
2.01700E+02,1.5705511517964100E+00,0.0000000000000000E+00,-6.5066817932873500E-01
2.01710E+02,1.5784373969949000E+00,0.0000000000000000E+00,-6.5775024421731800E-01
2.01720E+02,1.5863082742234300E+00,0.0000000000000000E+00,-6.6485040357232700E-01
2.01730E+02,1.5941638651596800E+00,0.0000000000000000E+00,-6.7196843007625900E-01
2.01740E+02,1.6020042519301500E+00,0.0000000000000000E+00,-6.7910409864594200E-01
2.01750E+02,1.6098295170904800E+00,0.0000000000000000E+00,-6.8625718641354100E-01
2.01760E+02,1.6176397436061400E+00,0.0000000000000000E+00,-6.9342747270773700E-01
2.01770E+02,1.6254350148335200E+00,0.0000000000000000E+00,-7.0061473903504500E-01
2.01780E+02,1.6332154145012700E+00,0.0000000000000000E+00,-7.0781876906129400E-01
2.01790E+02,1.6409810266920700E+00,0.0000000000000000E+00,-7.1503934859323300E-01
2.01800E+02,1.6487319358247000E+00,0.0000000000000000E+00,-7.2227626556029000E-01
2.01810E+02,1.6564682266364400E+00,0.0000000000000000E+00,-7.2952930999645200E-01
2.01820E+02,1.6641899841658000E+00,0.0000000000000000E+00,-7.3679827402228900E-01
