time (sec),ref_pos_lat (deg),ref_pos_lon (deg),ref_pos_alt (m)
2.41970E+02,3.2001716509202800E+01,1.2000134464021200E+02,1.7302278306713000E+02
2.41980E+02,3.2001716510184500E+01,1.2000134569848000E+02,1.7302281900702300E+02
2.41990E+02,3.2001716511161100E+01,1.2000134675674800E+02,1.7302285470622000E+02
2.42000E+02,3.2001716512132500E+01,1.2000134781501600E+02,1.7302289016598200E+02
2.42010E+02,3.2001716513098800E+01,1.2000134887328500E+02,1.7302292538756800E+02
2.42020E+02,3.2001716514060000E+01,1.2000134993155300E+02,1.7302296037222800E+02
2.42030E+02,3.2001716515016200E+01,1.2000135098982100E+02,1.7302299512120400E+02
2.42040E+02,3.2001716515967400E+01,1.2000135204808900E+02,1.7302302963573500E+02
2.42050E+02,3.2001716516913600E+01,1.2000135310635800E+02,1.7302306391705100E+02
2.42060E+02,3.2001716517854800E+01,1.2000135416462600E+02,1.7302309796637600E+02
2.42070E+02,3.2001716518791100E+01,1.2000135522289400E+02,1.7302313178492800E+02
2.42080E+02,3.2001716519722500E+01,1.2000135628116200E+02,1.7302316537391900E+02
2.42090E+02,3.2001716520648900E+01,1.2000135733943100E+02,1.7302319873455300E+02
2.42100E+02,3.2001716521570500E+01,1.2000135839769900E+02,1.7302323186802900E+02
2.42110E+02,3.2001716522487300E+01,1.2000135945596700E+02,1.7302326477554000E+02
2.42120E+02,3.2001716523399300E+01,1.2000136051423500E+02,1.7302329745827100E+02
2.42130E+02,3.2001716524306400E+01,1.2000136157250400E+02,1.7302332991740300E+02
2.42140E+02,3.2001716525208800E+01,1.2000136263077200E+02,1.7302336215411000E+02
2.42150E+02,3.2001716526106500E+01,1.2000136368904000E+02,1.7302339416955800E+02
2.42160E+02,3.2001716526999500E+01,1.2000136474730900E+02,1.7302342596491000E+02
2.42170E+02,3.2001716527887800E+01,1.2000136580557700E+02,1.7302345754132100E+02
2.42180E+02,3.2001716528771400E+01,1.2000136686384500E+02,1.7302348889994000E+02
2.42190E+02,3.2001716529650300E+01,1.2000136792211400E+02,1.7302352004191000E+02
2.42200E+02,3.2001716530524700E+01,1.2000136898038200E+02,1.7302355096836800E+02
2.42210E+02,3.2001716531394500E+01,1.2000137003865000E+02,1.7302358168044700E+02
2.42220E+02,3.2001716532259700E+01,1.2000137109691900E+02,1.7302361217927100E+02
2.42230E+02,3.2001716533120300E+01,1.2000137215518700E+02,1.7302364246595900E+02
2.42240E+02,3.2001716533976500E+01,1.2000137321345600E+02,1.7302367254162600E+02
2.42250E+02,3.2001716534828100E+01,1.2000137427172400E+02,1.7302370240737900E+02
2.42260E+02,3.2001716535675300E+01,1.2000137532999200E+02,1.7302373206431900E+02
2.42270E+02,3.2001716536518000E+01,1.2000137638826100E+02,1.7302376151354400E+02
2.42280E+02,3.2001716537356300E+01,1.2000137744652900E+02,1.7302379075614300E+02
2.42290E+02,3.2001716538190300E+01,1.2000137850479700E+02,1.7302381979320100E+02
2.42300E+02,3.2001716539019800E+01,1.2000137956306600E+02,1.7302384862579600E+02
2.42310E+02,3.2001716539845000E+01,1.2000138062133400E+02,1.7302387725500300E+02
2.42320E+02,3.2001716540665800E+01,1.2000138167960300E+02,1.7302390568188900E+02
2.42330E+02,3.2001716541482300E+01,1.2000138273787100E+02,1.7302393390751600E+02
2.42340E+02,3.2001716542294600E+01,1.2000138379614000E+02,1.7302396193294000E+02
