mag_x (uT),mag_y (uT),mag_z (uT)
1.654758170240945603e+01,1.257524839857523880e+01,4.682418266995092182e+01
1.653005845648688066e+01,1.256699797371865301e+01,4.682168326767526878e+01
1.653429233525421793e+01,1.256741874836881578e+01,4.681525295460927083e+01
1.653389988997623661e+01,1.257319955417497148e+01,4.679593482413763894e+01
1.654015221261702706e+01,1.257573963832905939e+01,4.683288672784984641e+01
1.653941736700655341e+01,1.256126556434144526e+01,4.681366465417702472e+01
1.654622160709276457e+01,1.256833507832187991e+01,4.682939647982258435e+01
1.653500224552104214e+01,1.256945665241947729e+01,4.681651373695368079e+01
1.656363479275004380e+01,1.255243299076185792e+01,4.681953613477360676e+01
1.654722655978889989e+01,1.256689481967731581e+01,4.681667741277398420e+01
1.653781313883410675e+01,1.256800223147883067e+01,4.682229415540412276e+01
1.653791021141246276e+01,1.257918701835413167e+01,4.680228858040390350e+01
1.652725971104995040e+01,1.257176028498301257e+01,4.682884831245698365e+01
1.653763145946643220e+01,1.257455934243148121e+01,4.683745725769432511e+01
1.652581649425441768e+01,1.256550730322325471e+01,4.681694175984362971e+01
1.656159616702964499e+01,1.256435173838587360e+01,4.681401688607354572e+01
1.655390911912625995e+01,1.257723862500106904e+01,4.682816643947806767e+01
1.654514358947469432e+01,1.255595657893707262e+01,4.681574982415316555e+01
1.653638519181508215e+01,1.255457839229892869e+01,4.680867144677213076e+01
1.654108596310002710e+01,1.257219982447297468e+01,4.682219014880946872e+01
1.653515938267319285e+01,1.256805927752047580e+01,4.682557034638998772e+01
1.655738540318989038e+01,1.258801603220899068e+01,4.681848716101571029e+01
1.653664451110025624e+01,1.257036727420124045e+01,4.683822663081472371e+01
1.654771159691823357e+01,1.256777231067772505e+01,4.679717375342730179e+01
1.652927569070730129e+01,1.256365072187252707e+01,4.681882203002587772e+01
1.652726104317389400e+01,1.256805218195095897e+01,4.682839724694828476e+01
1.655148249904918956e+01,1.256767155033002936e+01,4.681071140475955161e+01
1.654253043249675770e+01,1.255360834983417639e+01,4.681840837456866211e+01
1.653680761228841689e+01,1.258073734515353514e+01,4.681174022172455551e+01
1.653234527750229432e+01,1.258031127131411253e+01,4.681714176379040282e+01
1.653593459702063129e+01,1.257469220303955737e+01,4.681470137547469079e+01
1.653765307559723396e+01,1.256330839683410794e+01,4.680581937911483692e+01
1.654115753058464833e+01,1.257786048109521992e+01,4.681871455984490638e+01
1.654582117254616236e+01,1.258028167927276719e+01,4.681670438927864808e+01
1.652853512441019390e+01,1.256711645562119806e+01,4.682360609805735407e+01
1.655069878235389780e+01,1.256838364468517000e+01,4.681588759308127834e+01
1.654128082414419154e+01,1.255744016766889715e+01,4.683894938215600945e+01
1.653829746762283648e+01,1.256502016753673701e+01,4.681244362514958368e+01
1.652072576108879431e+01,1.255696515445026407e+01,4.683100865017395620e+01
1.653184605006228836e+01,1.254718898669596783e+01,4.680061993871619563e+01
1.654732322753090301e+01,1.254922201923549885e+01,4.681866003495721174e+01
1.655815894782692155e+01,1.257972011549782643e+01,4.681386032425928789e+01
1.652310444550313306e+01,1.257536378279201728e+01,4.680422965594770801e+01
1.652954817835582446e+01,1.256519404210404645e+01,4.683038804264312915e+01
1.654089838287003289e+01,1.258594639347941246e+01,4.681067759970961362e+01
1.654068005237629890e+01,1.255816855253545761e+01,4.680453565676302219e+01
1.653625473552324010e+01,1.257840817374711584e+01,4.680861624337002524e+01
1.654702432200474149e+01,1.256805588115542704e+01,4.682330773331955953e+01
1.655057263547690027e+01,1.258581189289960811e+01,4.682898540888655248e+01
1.652686656974844936e+01,1.257553947222879742e+01,4.682834816181580351e+01
