accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
6.795248217373760962e-04,-8.806039566548578548e-04,-9.803885549254264475e+00
-6.334307515456162954e-03,-7.677636563196066875e-03,-9.805769548940476810e+00
-5.281708730781514705e-03,-2.501061603551337333e-04,-9.809412620113805659e+00
-6.802024064836759490e-03,1.200456743097599172e-02,-9.796632332776452401e+00
-3.779787816065325722e-03,4.873384705171050595e-03,-9.802425242734551958e+00
-1.423591399098944089e-02,6.391500449457327955e-04,-9.804473087449080637e+00
1.715235318238905998e-03,2.502023038787685224e-03,-9.805282757442070007e+00
-1.413244499931776664e-03,-3.091762845127255899e-04,-9.802599306361329923e+00
-7.244172233125851200e-03,-1.773943778274371646e-03,-9.799156749447440973e+00
-7.746491833244971599e-03,-1.589945177561043069e-03,-9.799640498591797311e+00
-5.882732625564589604e-03,6.014756695858246901e-04,-9.804234102732857892e+00
6.245471303443342337e-03,7.109997535295204708e-03,-9.805647542972637964e+00
2.853140772620237423e-03,-6.198123712432197265e-04,-9.807431647568462196e+00
-9.474981597914648723e-03,-7.701351632439684333e-03,-9.801902923748208707e+00
-2.346589336867883901e-03,1.773327279723974125e-03,-9.800833363686892952e+00
6.346620519153029242e-04,8.201869517681481103e-04,-9.805584010347729418e+00
5.874787526883023560e-03,-3.923312456887205132e-03,-9.805383870825444603e+00
4.504569612263892298e-03,-2.024169872066442638e-03,-9.801868436612023672e+00
-5.678492559224836622e-04,6.224502401427662191e-04,-9.810113627013263837e+00
4.529321165412105235e-03,-5.066335078029893246e-03,-9.798553256888164142e+00
2.586517242451859462e-04,7.467113588224977836e-05,-9.794807707045883660e+00
-4.045214429780227133e-03,5.286958382947532648e-03,-9.804999837435849130e+00
1.476351464152255051e-02,6.307692500630849436e-03,-9.800605596046709778e+00
1.094275275962623868e-02,8.444760204335367143e-03,-9.802566364797479892e+00
-1.988093951549713394e-03,-6.196133900814681898e-03,-9.811647378124888519e+00
5.651223483950021040e-03,-5.601664934103274020e-03,-9.796154129558372503e+00
-2.109307682840156316e-03,-1.291588120412282339e-03,-9.801935106327068326e+00
-1.234845148661439318e-03,-3.454682605807451231e-03,-9.800756110693843226e+00
-4.178759928530049496e-03,5.555581049461581506e-04,-9.802481870133776809e+00
4.441267725724904261e-03,-4.106131016932827379e-03,-9.801489144571316814e+00
5.521627921725704097e-04,2.904530091411182540e-05,-9.800988368513944948e+00
2.089180597628672188e-03,7.585503238343437602e-04,-9.792815146523695446e+00
-2.385996789978178829e-03,4.285573100279578031e-03,-9.798907256779580521e+00
-1.112060853843633223e-04,-2.733682972286273060e-04,-9.811825713678953065e+00
6.232237848196863286e-03,8.707358123567258100e-04,-9.798643386033093705e+00
-1.295280208452661772e-02,-5.457899250287053666e-03,-9.809975526762599429e+00
-1.466254069917390405e-03,-2.958113062747894616e-03,-9.804508351130111876e+00
-4.586922512628842158e-04,-3.427671153528425840e-03,-9.808380905169293840e+00
7.265828907383859239e-03,-2.324091220684086807e-03,-9.799811330879464322e+00
-4.718780270383920658e-03,4.517399164759398900e-03,-9.804272162970692150e+00
-2.644195116640023820e-03,-1.474159448329721324e-02,-9.797119056564651984e+00
-5.678365456387900016e-03,9.307836642929867435e-04,-9.809534173269836899e+00
-3.123010384056254963e-03,6.906109110141717914e-04,-9.808687573167874874e+00
-3.635925353035318781e-03,-3.452488902757829513e-03,-9.814872037247505787e+00
3.438705259472249476e-03,-2.501200285736195419e-03,-9.795906911907486858e+00
-3.690719089487857086e-03,6.907400639177414294e-03,-9.802238117877573487e+00
8.309848432375081806e-03,4.806859599886458348e-03,-9.804834721416256116e+00
-9.094554007201478482e-03,3.561821293158565303e-03,-9.795863658202662805e+00
-3.587510045455018681e-04,1.067441561433219062e-03,-9.806176010219946448e+00
1.145483687484236297e-03,1.353088495555118329e-03,-9.800678128918518084e+00
-3.218085198164906662e-03,-5.059126176927425562e-03,-9.802492095187790966e+00
2.888286269874086403e-04,8.013270206954383607e-03,-9.806447024730744033e+00
7.365969060660673522e-03,-3.873641080461647478e-04,-9.803218770350618172e+00
-5.199457596828750694e-03,2.968717501677202442e-03,-9.807130280495671926e+00
-3.557312248709856069e-03,3.912135072566525992e-04,-9.803550645897670890e+00
3.164305285900906751e-03,8.224844631030372291e-06,-9.803242246648055769e+00
-1.512959842031014928e-03,2.132076469273244939e-03,-9.800837755648940330e+00
1.895162485000444617e-05,3.673264678358720194e-03,-9.794503156762765173e+00
-3.763047704557114306e-03,-5.315884167207089207e-03,-9.803823263256699505e+00
-8.731549554514490873e-04,-1.253751859723366800e-02,-9.791427028792943688e+00
3.352794791706300431e-03,3.301467465558521625e-03,-9.799465657300787669e+00
-5.716327992999171818e-03,6.102239793777052522e-03,-9.799173349630875052e+00
6.248329448025964801e-04,4.536705354008698475e-03,-9.799981080591713578e+00
7.014425138829038023e-03,2.514563508582119602e-03,-9.805565664326840292e+00
-9.032825073385597481e-03,4.811935583659368056e-03,-9.800312149318253674e+00
-1.035420081161953464e-02,5.572474063060789233e-03,-9.802184235983991911e+00
-3.063967507257666333e-03,4.340610459594501300e-03,-9.809554461351163823e+00
2.509180549293532278e-03,1.008663870421632695e-03,-9.809433897036996086e+00
2.834599880622067601e-03,3.649002447696650733e-03,-9.792444818815081220e+00
-1.753634573728992492e-03,-1.635234826581364069e-03,-9.804283061850203040e+00
-1.815686146116536571e-03,6.358840629357384935e-03,-9.805686424300025905e+00
6.747746392595835015e-05,2.679955251144850066e-03,-9.810958135784277445e+00
-1.998810372799159334e-03,6.069638940449002124e-03,-9.816066227158726676e+00
-2.722252754155046663e-03,5.914432179363675671e-03,-9.801466332661130210e+00
-3.246156000220601790e-03,-1.465168080805413341e-03,-9.804577739724885888e+00
2.291332888205828422e-03,2.788242708384939487e-03,-9.804532372700329290e+00
-2.629951894777305364e-03,6.155157375210516812e-03,-9.803537767686471227e+00
-1.055409115433408916e-03,-3.667469364348220455e-03,-9.805712319952140987e+00
-8.327089709660265640e-03,-5.299004726885846173e-03,-9.801108761235264311e+00
-2.277526614449462000e-03,6.014770416052924817e-05,-9.798547983921165994e+00
1.461900960044540745e-03,4.505073323483240258e-03,-9.809243873967831817e+00
4.193117203207946675e-03,-6.114098873859918556e-03,-9.805321891824492653e+00
-1.016720333706513761e-02,1.874516385461047095e-04,-9.800323445823657664e+00
7.260579442961689542e-03,-2.410487904574758200e-03,-9.801538614019845497e+00
-8.687809646993716961e-04,-2.832175948348368728e-03,-9.796150408398567322e+00
-1.033058486418622461e-02,-2.685312379804205042e-03,-9.806085400546274755e+00
-8.118024632366707335e-03,8.435745121453890050e-03,-9.803499658164207986e+00
