gps_lat (deg),gps_lon (deg),gps_alt (m),gps_vN (m/s),gps_vE (m/s),gps_vD (m/s)
4.073332703187778492e+01,-7.405612307802783789e+01,1.309770947472223446e+00,-4.687784265231426800e-02,7.837041773305572501e-02,7.631314270364238095e-02
4.073332760572425570e+01,-7.405626716874654392e+01,-3.680982044168039646e+00,7.935349681565113944e-02,2.653248409510636924e-02,-7.350344262732462497e-02
4.073329277729592945e+01,-7.405627402786703328e+01,5.321187891990534213e-01,1.224337661623204482e-02,-2.101878814710443286e-02,6.159379991143644484e-02
4.073329598487452330e+01,-7.405629479065282794e+01,5.723139263544132049e+00,-3.243011642640669656e-02,2.311970274445381696e-02,-1.117078180199355952e-02
4.073329151679904214e+01,-7.405629979485628667e+01,-2.137198919370194261e+01,-1.022616664787798875e-03,-6.451579967606731192e-02,3.758854537423649694e-02
4.073327790307208573e+01,-7.405629461828300464e+01,-1.247128066768629306e+00,-4.834858226065520681e-02,9.284878438311461660e-03,-5.486813364284310289e-03
4.073343116459201241e+01,-7.405626632098420714e+01,-1.224511227711372108e+00,3.868546109007042766e-02,-2.652717855099146621e-02,2.062785872499223617e-03
4.073336912543862809e+01,-7.405626659576788029e+01,-2.041514047698413492e+00,-5.612340407713713869e-03,4.321248691167555583e-02,-9.862091706049343903e-03
4.073335719508330754e+01,-7.405623320698595080e+01,-8.495557139865570484e-01,6.946742723858830015e-02,8.498906971634614949e-02,-7.679918381673270233e-02
4.073328766947073376e+01,-7.405619218650400626e+01,5.028563336799614092e+00,-9.823480329852137677e-03,6.430782086753918103e-02,4.242118590982180831e-02
4.073330414531232435e+01,-7.405625884322380159e+01,5.196553392768654689e-01,5.178874445407902899e-02,1.337093862642374231e-01,8.235826605075607931e-02
4.073326250063969667e+01,-7.405627689065455854e+01,1.033207205063701783e+00,4.091256007792717919e-02,-4.073582443663173458e-02,-3.522827155015814064e-03
4.073328661577545518e+01,-7.405630374963313045e+01,-4.264568414467266422e+00,-2.637325496439937508e-02,-2.618421190998736908e-03,-1.140472495563107404e-02
4.073337260625407907e+01,-7.405633133438868754e+01,3.062367855095717406e+00,-1.389413026101257720e-02,-1.077769486269889582e-02,3.868243400927882936e-02
4.073328321486769710e+01,-7.405631043802331703e+01,-1.727265313705594663e+00,-1.294145886467349196e-02,1.056096832516559454e-02,-4.436486837599946942e-02
4.073333240609923678e+01,-7.405623220766942438e+01,-9.598264238230470369e+00,2.987665762266527095e-02,-2.576911195611586436e-02,6.169954850176084804e-02
4.073331042198923768e+01,-7.405622662557722435e+01,-3.683922401272776703e+00,7.008867328068864831e-03,8.199557538457097339e-02,-1.010226198828666558e-02
4.073337221504794314e+01,-7.405620410444160484e+01,-8.487082762815585824e+00,-3.249697602841786215e-02,5.909212142279911956e-02,9.036180821321307399e-02
4.073330693848164685e+01,-7.405626192408642794e+01,1.121817108277136832e+01,-3.688248214900446270e-02,-4.465904273996874202e-02,3.619170953155231157e-02
4.073327293345118250e+01,-7.405626614390133966e+01,-1.327623190244520579e+00,-1.352818069007603874e-02,1.034557003002171439e-02,-1.644563244496235685e-02
4.073324758537798829e+01,-7.405634094271074730e+01,-2.610230255693446466e-01,4.073406139595135049e-04,6.216131451383412332e-02,-1.638385018280754876e-02
4.073335511786272178e+01,-7.405630595153793649e+01,-3.932156294906998362e+00,-6.210196501686820331e-02,7.941457690104949951e-02,-1.827486872528291716e-03
4.073336122694422556e+01,-7.405613146763487009e+01,1.119273783229696306e+01,-7.769130524059888326e-03,4.683066657739990563e-02,-2.014197737889419221e-02
4.073332089497028363e+01,-7.405622401578477820e+01,8.520130733078419283e+00,4.460487321091621826e-02,-1.624143732191194942e-02,-8.969842704934098687e-02
